# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
8127,LK Schwäbisch Hall,Baden-Württemberg,196761,6586,253.10,164,6273,209.90,162
8128,LK Main-Tauber-Kreis,Baden-Württemberg,132399,3454,93.66,74,3434,83.84,74
8135,LK Heidenheim,Baden-Württemberg,132777,3442,44.44,139,3429,39.92,139
8136,LK Ostalbkreis,Baden-Württemberg,314025,9862,70.06,286,9703,70.38,286
8211,SK Baden-Baden,Baden-Württemberg,55185,1355,86.98,51,1326,61.61,48
8212,SK Karlsruhe,Baden-Württemberg,312060,7180,105.43,167,7120,95.17,167
8215,LK Karlsruhe,Baden-Württemberg,445101,12691,88.97,401,12574,88.74,401
8216,LK Rastatt,Baden-Württemberg,231420,6240,142.17,124,6135,127.47,120
8221,SK Heidelberg,Baden-Württemberg,161485,4001,48.92,54,4002,51.40,53
8222,SK Mannheim,Baden-Württemberg,310658,11451,112.99,258,11415,116.53,258
8225,LK Neckar-Odenwald-Kreis,Baden-Württemberg,143633,4444,45.95,124,4428,45.95,124
8226,LK Rhein-Neckar-Kreis,Baden-Württemberg,548355,15911,63.28,363,15941,64.01,360
8231,SK Pforzheim,Baden-Württemberg,125957,5492,70.66,174,5403,57.96,162
8235,LK Calw,Baden-Württemberg,159201,5985,76.63,154,5897,75.38,151
8236,LK Enzkreis,Baden-Württemberg,199556,6586,58.63,222,6559,47.61,215
8237,LK Freudenstadt,Baden-Württemberg,118243,3567,120.09,131,3519,114.17,133
8311,SK Freiburg i.Breisgau,Baden-Württemberg,231195,5636,45.85,140,5581,41.52,134
8315,LK Breisgau-Hochschwarzwald,Baden-Württemberg,263601,6586,69.42,165,6532,66.77,160
8316,LK Emmendingen,Baden-Württemberg,166408,4617,126.20,139,4585,103.36,138
8317,LK Ortenaukreis,Baden-Württemberg,430953,13379,79.13,487,13297,64.28,485
8325,LK Rottweil,Baden-Württemberg,139878,5296,34.32,144,5287,30.03,144
8326,LK Schwarzwald-Baar-Kreis,Baden-Württemberg,212506,6351,52.70,180,6350,52.23,180
8327,LK Tuttlingen,Baden-Württemberg,140766,5021,103.72,114,5005,100.17,114
8335,LK Konstanz,Baden-Württemberg,286305,7813,119.80,243,7717,112.47,238
8336,LK Lörrach,Baden-Württemberg,228736,7691,76.51,243,7666,76.51,245
8337,LK Waldshut,Baden-Württemberg,171003,5575,88.30,196,5269,69.59,181
8415,LK Reutlingen,Baden-Württemberg,287034,9432,89.54,238,9327,64.10,232
8416,LK Tübingen,Baden-Württemberg,228678,6427,47.23,165,6308,41.11,165
8417,LK Zollernalbkreis,Baden-Württemberg,189363,5687,47.00,151,5663,42.25,151
8421,SK Ulm,Baden-Württemberg,126790,3712,52.84,64,3693,55.21,64
8425,LK Alb-Donau-Kreis,Baden-Württemberg,197076,5982,116.71,158,5875,110.11,158
8426,LK Biberach,Baden-Württemberg,201282,5244,65.08,137,5217,66.08,137
8435,LK Bodenseekreis,Baden-Württemberg,217470,5193,69.89,138,5153,56.10,137
8436,LK Ravensburg,Baden-Württemberg,285424,7299,68.32,115,7045,61.31,103
8437,LK Sigmaringen,Baden-Württemberg,130849,3392,116.16,67,3311,100.12,66
9161,SK Ingolstadt,Bayern,137392,4209,52.40,92,4191,45.85,92
9162,SK München,Bayern,1484226,55933,63.80,1095,55861,66.70,1095
9163,SK Rosenheim,Bayern,63551,3079,199.84,53,3079,204.56,53
9171,LK Altötting,Bayern,111516,4243,93.26,187,4226,107.61,182
9172,LK Berchtesgadener Land,Bayern,105929,4605,117.06,96,4605,113.28,96
9173,LK Bad Tölz-Wolfratshausen,Bayern,127917,3650,47.69,59,3644,47.69,59
9174,LK Dachau,Bayern,154899,6019,93.61,127,5992,84.57,127
9175,LK Ebersberg,Bayern,143649,4928,74.49,170,4928,74.49,170
9176,LK Eichstätt,Bayern,132881,3474,24.83,71,3447,22.58,70
9177,LK Erding,Bayern,138182,5414,68.75,103,5316,61.51,102
9178,LK Freising,Bayern,180007,5944,66.11,111,5944,65.55,110
9179,LK Fürstenfeldbruck,Bayern,219311,7434,58.82,121,7357,59.73,120
9180,LK Garmisch-Partenkirchen,Bayern,88424,2965,81.43,82,2618,52.02,80
9181,LK Landsberg a.Lech,Bayern,120302,3096,37.41,57,3096,35.74,57
9182,LK Miesbach,Bayern,100010,3324,65.99,57,3314,69.99,57
9183,LK Mühldorf a.Inn,Bayern,115872,4868,92.34,128,4874,94.93,127
9184,LK München,Bayern,350473,11688,81.60,272,11742,65.05,272
9185,LK Neuburg-Schrobenhausen,Bayern,97303,2898,81.19,65,2824,76.05,64
9186,LK Pfaffenhofen a.d.Ilm,Bayern,128227,3964,80.33,147,3963,79.55,147
9187,LK Rosenheim,Bayern,261330,11133,81.51,425,11133,83.80,425
9188,LK Starnberg,Bayern,136667,3904,74.63,102,3866,56.34,99
9189,LK Traunstein,Bayern,177319,7902,140.42,194,7853,128.58,194
9190,LK Weilheim-Schongau,Bayern,135478,3470,81.19,54,3454,78.24,52
9261,SK Landshut,Bayern,73411,2868,145.75,96,2868,148.48,96
9262,SK Passau,Bayern,52803,2871,155.29,114,2859,155.29,108
9263,SK Straubing,Bayern,47791,1621,117.18,77,1621,117.18,77
9271,LK Deggendorf,Bayern,119478,4632,100.44,125,4632,101.27,125
9272,LK Freyung-Grafenau,Bayern,78362,3756,135.27,108,3756,135.27,108
9273,LK Kelheim,Bayern,123058,3513,108.89,83,3430,104.83,83
9274,LK Landshut,Bayern,159895,5348,106.32,151,5349,105.69,151
9275,LK Passau,Bayern,192656,10556,121.46,358,10515,113.16,333
9276,LK Regen,Bayern,77410,4452,120.14,156,4450,113.68,153
9277,LK Rottal-Inn,Bayern,121502,5422,68.31,157,5425,70.78,157
9278,LK Straubing-Bogen,Bayern,101120,3689,115.70,123,3690,113.73,123
9279,LK Dingolfing-Landau,Bayern,96683,3536,114.81,76,3533,108.60,76
9361,SK Amberg,Bayern,42207,1116,201.39,16,1116,199.02,16
9362,SK Regensburg,Bayern,153094,4672,169.83,65,4672,145.01,65
9363,SK Weiden i.d.OPf.,Bayern,42743,2293,138.03,69,2293,135.69,69
9371,LK Amberg-Sulzbach,Bayern,103049,3441,160.12,127,3441,156.24,127
9372,LK Cham,Bayern,127998,4404,200.00,124,4404,200.00,124
9373,LK Neumarkt i.d.OPf.,Bayern,134573,4589,79.51,109,4349,67.62,109
9374,LK Neustadt a.d.Waldnaab,Bayern,94450,4338,142.93,149,4338,136.58,149
9375,LK Regensburg,Bayern,194070,5284,39.68,155,5284,75.75,155
9376,LK Schwandorf,Bayern,147872,5669,235.34,122,5669,208.29,120
9377,LK Tirschenreuth,Bayern,72046,4653,209.59,240,4647,198.48,241
9461,SK Bamberg,Bayern,77373,2256,71.08,97,2252,73.67,97
9462,SK Bayreuth,Bayern,74783,2471,104.30,100,2453,104.30,97
9463,SK Coburg,Bayern,41072,1675,75.48,86,1662,46.26,86
9464,SK Hof,Bayern,45825,2595,292.42,78,2595,292.42,78
9471,LK Bamberg,Bayern,147163,3960,42.81,123,3905,41.45,123
9472,LK Bayreuth,Bayern,103664,3648,123.48,132,3676,121.55,131
9473,LK Coburg,Bayern,86747,3411,50.72,142,3397,41.50,142
9474,LK Forchheim,Bayern,116203,3631,64.54,98,3602,81.75,98
9475,LK Hof,Bayern,94801,4206,129.75,116,4206,129.75,116
9476,LK Kronach,Bayern,66743,2525,233.73,75,2492,208.26,75
9477,LK Kulmbach,Bayern,71566,2835,311.60,96,2767,273.87,96
9478,LK Lichtenfels,Bayern,66776,2410,109.32,60,2348,104.83,61
9479,LK Wunsiedel i.Fichtelgebirge,Bayern,72655,4125,221.60,174,4106,224.35,174
9561,SK Ansbach,Bayern,41798,1392,112.45,43,1345,98.09,41
9562,SK Erlangen,Bayern,112528,2956,72.87,88,2955,68.43,87
9563,SK Fürth,Bayern,128497,5217,122.18,181,5204,130.74,181
9564,SK Nürnberg,Bayern,518370,24899,124.81,826,24899,127.52,821
9565,SK Schwabach,Bayern,40981,1642,102.49,100,1642,82.97,100
9571,LK Ansbach,Bayern,184591,5524,119.72,162,5355,85.59,148
9572,LK Erlangen-Höchstadt,Bayern,137262,3856,88.88,113,3856,85.97,113
9573,LK Fürth,Bayern,117853,4015,100.12,182,4000,100.97,182
9574,LK Nürnberger Land,Bayern,170792,5208,76.70,169,5162,76.70,157
9575,LK Neustadt a.d.Aisch-Bad Windsheim,Bayern,101014,2942,73.26,83,2934,74.25,82
9576,LK Roth,Bayern,126749,4147,86.00,160,4147,81.26,160
9577,LK Weißenburg-Gunzenhausen,Bayern,94734,2670,26.39,105,2671,27.45,105
9661,SK Aschaffenburg,Bayern,71002,2393,122.53,95,2393,107.04,94
